fips_10,date,count
AA,20140701,33
AA,20140702,2
AA,20140703,5
AA,20140704,18
AA,20140705,26
AA,20140706,15
AA,20140707,9
AA,20140709,3
AA,20140710,3
AA,20140711,7
AA,20140712,16
AA,20140713,30
AA,20140714,17
AA,20140715,1
AA,20140716,3
AA,20140718,7
AA,20140719,8
AA,20140720,16
AA,20140721,12
AA,20140722,5
AA,20140723,15
AA,20140724,58
AA,20140725,107
AA,20140726,136
AA,20140727,156
AA,20140728,208
AA,20140729,110
AA,20140730,80
AA,20140731,59
AC,20140701,37
AC,20140702,30
AC,20140703,21
AC,20140704,25
AC,20140705,20
AC,20140706,22
AC,20140707,10
AC,20140708,14
AC,20140709,11
AC,20140710,10
AC,20140711,25
AC,20140713,5
AC,20140714,11
AC,20140715,2
AC,20140716,7
AC,20140717,5
AC,20140718,29
AC,20140719,11
AC,20140721,29
AC,20140722,20
AC,20140723,15
AC,20140725,9
AC,20140726,1
AC,20140727,22
AC,20140728,27
AC,20140729,15
AC,20140730,5
AC,20140731,11
AE,20140701,320
AE,20140702,441
AE,20140703,363
AE,20140704,233
AE,20140705,253
AE,20140706,344
AE,20140707,471
AE,20140708,387
AE,20140709,351
AE,20140710,447
AE,20140711,272
AE,20140712,224
AE,20140713,304
AE,20140714,288
AE,20140715,531
AE,20140716,442
AE,20140717,404
AE,20140718,329
AE,20140719,237
AE,20140720,349
AE,20140721,480
AE,20140722,453
AE,20140723,301
AE,20140724,326
AE,20140725,186
AE,20140726,198
AE,20140727,271
AE,20140728,196
AE,20140729,226
AE,20140730,217
AE,20140731,193
AF,20140701,1179
AF,20140702,1701
AF,20140703,1244
AF,20140704,804
AF,20140705,976
AF,20140706,894
AF,20140707,1655
AF,20140708,2208
AF,20140709,1759
AF,20140710,1899
AF,20140711,2930
AF,20140712,1878
AF,20140713,1315
AF,20140714,1510
AF,20140715,1768
AF,20140716,1850
AF,20140717,1724
AF,20140718,1307
AF,20140719,979
AF,20140720,838
AF,20140721,1508
AF,20140722,1302
AF,20140723,1197
AF,20140724,1342
AF,20140725,2444
AF,20140726,1029
AF,20140727,1089
AF,20140728,965
AF,20140729,1096
AF,20140730,921
AF,20140731,803
AG,20140701,78
AG,20140702,76
AG,20140703,112
AG,20140704,85
AG,20140705,64
AG,20140706,85
AG,20140707,170
AG,20140708,117
AG,20140709,79
AG,20140710,140
AG,20140711,133
AG,20140712,33
AG,20140713,149
AG,20140714,162
AG,20140715,167
AG,20140716,151
AG,20140717,264
AG,20140718,140
AG,20140719,72
AG,20140720,105
AG,20140721,74
AG,20140722,83
AG,20140723,137
AG,20140724,1307
AG,20140725,958
AG,20140726,365
AG,20140727,268
AG,20140728,267
AG,20140729,291
AG,20140730,202
AG,20140731,262
AJ,20140701,303
AJ,20140702,294
AJ,20140703,320
AJ,20140704,281
AJ,20140705,145
AJ,20140706,41
AJ,20140707,290
AJ,20140708,294
AJ,20140709,379
AJ,20140710,433
AJ,20140711,408
AJ,20140712,260
AJ,20140713,117
AJ,20140714,320
AJ,20140715,339
AJ,20140716,334
AJ,20140717,451
AJ,20140718,361
AJ,20140719,167
AJ,20140720,68
AJ,20140721,271
AJ,20140722,343
AJ,20140723,384
AJ,20140724,341
AJ,20140725,328
AJ,20140726,232
AJ,20140727,80
AJ,20140728,229
AJ,20140729,211
AJ,20140730,236
AJ,20140731,408
AL,20140701,89
AL,20140702,87
AL,20140703,58
AL,20140704,87
AL,20140705,32
AL,20140706,19
AL,20140707,123
AL,20140708,92
AL,20140709,73
AL,20140710,87
AL,20140711,107
AL,20140712,23
AL,20140713,4
AL,20140714,56
AL,20140715,95
AL,20140716,67
AL,20140717,79
AL,20140718,47
AL,20140719,23
AL,20140720,30
AL,20140721,63
AL,20140722,39
AL,20140723,66
AL,20140724,83
AL,20140725,23
AL,20140726,4
AL,20140727,5
AL,20140728,27
AL,20140729,72
AL,20140730,106
AL,20140731,171
AM,20140701,424
AM,20140702,368
AM,20140703,416
AM,20140704,578
AM,20140705,231
AM,20140706,57
AM,20140707,409
AM,20140708,515
AM,20140709,496
AM,20140710,584
AM,20140711,554
AM,20140712,359
AM,20140713,64
AM,20140714,342
AM,20140715,409
AM,20140716,522
AM,20140717,359
AM,20140718,409
AM,20140719,113
AM,20140720,46
AM,20140721,276
AM,20140722,307
AM,20140723,449
AM,20140724,323
AM,20140725,374
AM,20140726,189
AM,20140727,88
AM,20140728,206
AM,20140729,361
AM,20140730,327
AM,20140731,329
AN,20140702,1
AN,20140703,2
AN,20140715,4
AN,20140716,4
AN,20140717,1
AN,20140720,3
AN,20140721,3
AN,20140722,9
AN,20140724,1
AN,20140726,9
AN,20140728,2
AN,20140729,2
AO,20140701,75
AO,20140702,79
AO,20140703,92
AO,20140704,62
AO,20140705,75
AO,20140706,32
AO,20140707,74
AO,20140708,42
AO,20140709,74
AO,20140710,101
AO,20140711,111
AO,20140712,33
AO,20140713,28
AO,20140714,57
AO,20140715,55
AO,20140716,112
AO,20140717,88
AO,20140718,57
AO,20140719,33
AO,20140720,47
AO,20140721,115
AO,20140722,133
AO,20140723,136
AO,20140724,60
AO,20140725,50
AO,20140726,24
AO,20140727,9
AO,20140728,75
AO,20140729,64
AO,20140730,61
AO,20140731,136
AQ,20140701,8
AQ,20140704,4
AQ,20140707,2
AQ,20140709,1
AQ,20140711,1
AQ,20140714,12
AQ,20140715,6
AQ,20140716,1
AQ,20140719,4
AQ,20140721,5
AQ,20140722,2
AQ,20140723,52
AQ,20140724,121
AQ,20140725,50
AQ,20140726,18
AQ,20140727,7
AQ,20140728,13
AQ,20140729,5
AQ,20140730,4
AR,20140701,257
AR,20140702,277
AR,20140703,162
AR,20140704,148
AR,20140705,188
AR,20140706,178
AR,20140707,389
AR,20140708,328
AR,20140709,236
AR,20140710,203
AR,20140711,277
AR,20140712,242
AR,20140713,222
AR,20140714,216
AR,20140715,208
AR,20140716,223
AR,20140717,230
AR,20140718,288
AR,20140719,315
AR,20140720,217
AR,20140721,233
AR,20140722,352
AR,20140723,344
AR,20140724,350
AR,20140725,251
AR,20140726,106
AR,20140727,86
AR,20140728,312
AR,20140729,330
AR,20140730,388
AR,20140731,419
AS,20140701,2797
AS,20140702,3071
AS,20140703,3184
AS,20140704,2537
AS,20140705,1422
AS,20140706,2221
AS,20140707,4093
AS,20140708,3904
AS,20140709,3844
AS,20140710,3298
AS,20140711,3885
AS,20140712,1561
AS,20140713,2044
AS,20140714,3267
AS,20140715,3747
AS,20140716,3479
AS,20140717,4163
AS,20140718,4849
AS,20140719,2821
AS,20140720,2866
AS,20140721,4218
AS,20140722,3466
AS,20140723,3748
AS,20140724,3528
AS,20140725,3290
AS,20140726,1784
AS,20140727,2282
AS,20140728,3390
AS,20140729,3417
AS,20140730,3492
AS,20140731,3672
AU,20140701,297
AU,20140702,390
AU,20140703,329
AU,20140704,339
AU,20140705,212
AU,20140706,211
AU,20140707,313
AU,20140708,329
AU,20140709,283
AU,20140710,459
AU,20140711,654
AU,20140712,321
AU,20140713,893
AU,20140714,837
AU,20140715,830
AU,20140716,405
AU,20140717,313
AU,20140718,221
AU,20140719,196
AU,20140720,145
AU,20140721,152
AU,20140722,204
AU,20140723,175
AU,20140724,202
AU,20140725,171
AU,20140726,69
AU,20140727,100
AU,20140728,193
AU,20140729,208
AU,20140730,174
AU,20140731,225
AV,20140701,3
AV,20140703,1
AV,20140704,23
AV,20140714,5
AV,20140715,12
AV,20140716,2
AV,20140717,1
AV,20140718,12
AV,20140719,5
AV,20140721,5
AV,20140723,1
AV,20140726,1
AV,20140731,9
AY,20140701,30
AY,20140702,14
AY,20140703,16
AY,20140704,9
AY,20140705,12
AY,20140706,11
AY,20140707,24
AY,20140708,10
AY,20140709,8
